AutoCivil-Lab Research Log
[2026-03-11 13:00] Baseline | Model: RandomForestRegressor | RMSE: 2.90 | R2: 0.97 | Composite: 0.941 | Validation: WARN | Threshold established
[2026-03-11 13:20] Trial 055 | Model: LightGBM | n_estimators=500 learning_rate=0.1207 num_leaves=23 min_child_samples=6 subsample=0.7684 colsample_bytree=0.6266 | RMSE: 2.40 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 056 | Model: RandomForest | n_estimators=100 max_depth=10 min_samples_split=5 min_samples_leaf=1 max_features=sqrt | RMSE: 3.39 | R2: 0.96 | Composite: 0.927 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 057 | Model: LightGBM | n_estimators=500 learning_rate=0.1192 num_leaves=24 min_child_samples=10 subsample=0.7648 colsample_bytree=0.643 | RMSE: 2.49 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 058 | Model: Ridge | alpha=0.7529 fit_intercept=False solver=cholesky | RMSE: 36.44 | R2: -3.72 | Composite: -1.126 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:21] Trial 059 | Model: SVR | C=5.71 epsilon=0.03694 kernel=rbf gamma=auto | RMSE: 5.26 | R2: 0.90 | Composite: 0.877 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 060 | Model: LightGBM | n_estimators=500 learning_rate=0.1302 num_leaves=23 min_child_samples=7 subsample=0.7417 colsample_bytree=0.63 | RMSE: 2.55 | R2: 0.97 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 061 | Model: LightGBM | n_estimators=500 learning_rate=0.04805 num_leaves=36 min_child_samples=12 subsample=0.6837 colsample_bytree=0.6046 | RMSE: 2.53 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 062 | Model: LightGBM | n_estimators=450 learning_rate=0.1666 num_leaves=18 min_child_samples=5 subsample=0.7744 colsample_bytree=0.6465 | RMSE: 2.36 | R2: 0.98 | Composite: 0.955 | Validation: WARN | ✅ New best
[2026-03-11 13:21] Trial 063 | Model: LightGBM | n_estimators=500 learning_rate=0.1491 num_leaves=19 min_child_samples=6 subsample=0.7698 colsample_bytree=0.6461 | RMSE: 2.40 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 064 | Model: LightGBM | n_estimators=450 learning_rate=0.1478 num_leaves=18 min_child_samples=6 subsample=0.7788 colsample_bytree=0.6397 | RMSE: 2.37 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 065 | Model: LightGBM | n_estimators=450 learning_rate=0.1574 num_leaves=19 min_child_samples=6 subsample=0.8259 colsample_bytree=0.6494 | RMSE: 2.42 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 066 | Model: XGBoost | n_estimators=500 learning_rate=0.0981 max_depth=10 min_child_weight=7.728 subsample=0.8517 colsample_bytree=0.613 reg_alpha=0.003401 | RMSE: 2.59 | R2: 0.97 | Composite: 0.950 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 067 | Model: LightGBM | n_estimators=100 learning_rate=0.09474 num_leaves=18 min_child_samples=5 subsample=0.7813 colsample_bytree=0.6206 | RMSE: 2.97 | R2: 0.97 | Composite: 0.938 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 068 | Model: LightGBM | n_estimators=400 learning_rate=0.06774 num_leaves=44 min_child_samples=10 subsample=0.7171 colsample_bytree=0.6575 | RMSE: 2.51 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 069 | Model: LightGBM | n_estimators=500 learning_rate=0.1409 num_leaves=18 min_child_samples=7 subsample=0.7495 colsample_bytree=0.6319 | RMSE: 2.45 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 070 | Model: LightGBM | n_estimators=450 learning_rate=0.2275 num_leaves=18 min_child_samples=6 subsample=0.8716 colsample_bytree=0.6243 | RMSE: 2.45 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 071 | Model: SVR | C=5.127 epsilon=0.0355 kernel=poly gamma=scale | RMSE: 6.67 | R2: 0.84 | Composite: 0.833 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 072 | Model: LightGBM | n_estimators=500 learning_rate=0.1153 num_leaves=23 min_child_samples=7 subsample=0.7687 colsample_bytree=0.6435 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 073 | Model: LightGBM | n_estimators=500 learning_rate=0.164 num_leaves=24 min_child_samples=9 subsample=0.7791 colsample_bytree=0.6722 | RMSE: 2.45 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 074 | Model: LightGBM | n_estimators=450 learning_rate=0.233 num_leaves=17 min_child_samples=6 subsample=0.7603 colsample_bytree=0.6357 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 075 | Model: LightGBM | n_estimators=500 learning_rate=0.136 num_leaves=20 min_child_samples=5 subsample=0.7864 colsample_bytree=0.6178 | RMSE: 2.46 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
